水闸名称,经度,纬度,所在行政区,所在地点,所在河流,水闸孔数,闸孔净宽,闸底板高程,闸门顶高程,闸墩高程,排架高程,闸门型式,启闭机,启闭机型式,电机功率,设计标准
"三七市西闸","121.33833","30.03111","三七市村","三七市镇三七市村","澎王浦","1",3.0,,,"3.3","8.9","平板式","1","螺杆式","3",10
"堰头西闸","121.33361","30.025556","三七市村","三七市镇三七市村","澎王浦","1",3.0,,,"2.7","6.7","平板式","1","螺杆式","3",10
"东家沿东闸","121.331667","30.02083","三七市村","三七市镇三七市村","澎王浦","1",1.6,,,"2.59","4.1","铸铁","1","螺杆式","/",10
"东家沿西闸","121.33139","30.02111","三七市村","三七市镇三七市村","澎王浦","1",1.6,,,"2.59","4.1","铸铁","1","螺杆式","/",10
"钟陈闸","121.329167","30.015833","三七市村","三七市镇三七市村","钟陈横河","1",3.0,,,"2.7","6.2","平板式","1","螺杆式","3",10
"陆家闸","121.32778","30.01444","三七市村","三七市镇三七市村","郑家河","1",3.0,,,"2.6","5.9","平板式","1","螺杆式","3",10
"上新桥东闸","121.34583","30.016388","三七市村","三七市镇三七市村","后宅横河","1",2.6,,,"2.92","6.52","平板式","1","螺杆式","3",10
"东庄闸","121.34583","30.01722","三七市村","三七市镇三七市村","旺家河","1",2.8,,,"3.02","6.2","平板式","1","螺杆式","3",10
"五马闸","121.345","30.014167","三七市村","三七市镇三七市村","五马河","1",3.5,,,"3.93","7.93","平板式","1","螺杆式","3",10
"邹家浦闸","121.341666","30.00556","三七市村","三七市镇三七市村","邹家河","1",3.0,,,"3.82","8.02","平板式","1","螺杆式","3",10
"俞家浦水闸","121.3336","29.9992","三七市村","三七市镇三七市村","俞家浦","1",3.0,,,"3.42","6.72","平板式","1","螺杆式","3",10
"张家浦闸","121.34639","29.9972","三七市村","三七市镇三七市村","张家浦","1",2.5,,,"3.52","8.12","平板式","1","螺杆式","2.2",10
"陆家桥闸","121.3444","30.01306","三七市村","三七市镇三七市村","钟陈横河","1",3.0,,,"3.82","7.92","平板式","1","螺杆式","4",10
"下官桥闸","121.36472","30.017777","三七市村","三七市镇三七市村","官桥浦","1",3.0,,,"3.87","8.57","平板式","1","螺杆式","3",10
"牛阿卫桥闸","121.355","30.005277","三七市村","三七市镇三七市村","楼家河","1",2.5,,,"3.57","8.57","平板式","1","螺杆式","2.2",10
"官桥浦闸","121.35277","30.001667","三七市村","三七市镇三七市村","官桥浦","2",3.0,,,"3.87","8.57","平板式","2","螺杆式","4",10
"黄龙浦闸","121.35916","29.996389","三七市村","三七市镇三七市村","黄龙浦","1",2.2,,,"3.87","8.77","平板式","1","螺杆式","2.2",10
"云山浦闸","121.37611","29.98972","三七市村","三七市镇三七市村","云山浦","1",3.0,,,"3.37","7.17","平板式","1","螺杆式","3",10
"施大前闸","121.36139","30.01444","三七市村","三七市镇三七市村","后宅横河","1",2.5,,,"3.37","6.17","平板式","1","螺杆式","2.2",10
"栗树桥水闸","121.31472","30.02722","三七市村","三七市镇三七市村","潺子浦","1",3.0,,,"3.16","6.66","平板式","1","螺杆式","2.2",10
"吴泽浦东闸","121.340278","30.00277","三七市村","三七市镇三七市村","吴泽浦","2",3.2,,,"3.22","7.62","平板式","2","螺杆式","3",10
"吴泽浦西闸","121.340278","30.003056","三七市村","三七市镇三七市村","吴泽浦","3",2.6,,,"3.02","5.62","平板式","3","螺杆式","3",10
"三洞闸","121.36444","30.017778","三七市村","三七市镇三七市村","官桥浦","3",3.0,,,"3.37","6.17","平板式","3","螺杆式","3",10
"魏家浦口闸","121.36944","29.99194","三七市村","三七市镇三七市村","官桥浦","2",3.5,,,"3.37","7.87","平板式","2","螺杆式","4",10
"潘家道口闸","121.38361","29.991389","三七市村","三七市镇三七市村","铁路南河","1",3.0,,,"3.47","6.97","平板式","1","螺杆式","3",10
"上义庄闸","121.345","30.0411","三七市村","三七市镇三七市村","吴泽浦","4",2.5,,,"3.63","5.33","平板式","4","螺杆式","4",10
"大池头闸","121.38556","30.030556","三七市村","三七市镇三七市村","官桥浦","3",2.5,,,"14","14.7","平板式","3","螺杆式","2.2",10
"乌龟尾巴闸","121.38083","30.02833","三七市村","三七市镇三七市村","官桥浦","3",3.0,,,"12.7","16.6","平板式","3","螺杆式","3",10
"东施岙闸","121.378056","30.030833","三七市村","三七市镇三七市村","相岙西渠","1",3.0,,,"14","14.7","平板式","1","螺杆式","3",10
"西山岐头闸","121.3686","30.01694","三七市村","三七市镇三七市村","官桥浦","1",3.0,,,"3.67","8.97","平板式","1","螺杆式","3",10
"小沿根闸","121.343056","30.0375","三七市村","三七市镇三七市村","大池墩中渠","1",2.0,,,"3","5.3","平板式","1","螺杆式","/",10
"石克头闸","121.35167","30.051666","三七市村","三七市镇三七市村","吴泽浦","3",3.0,,,"3.7","5.5","平板式","3","螺杆式","/",10
"唐家闸","121.38694","30.050278","三七市村","三七市镇三七市村","唐家溪","3",2.8,,,"30","32.1","平板式","3","螺杆式","4",10
"窑山闸","121.34694","30.04833","三七市村","三七市镇三七市村","吴泽浦","3",3.6,,,"3.6","6.4","平板式","3","螺杆式","3",10
"剡岙闸","121.335556","30.0375","三七市村","三七市镇三七市村","半岙河","3",2.0,,,"2.87","4.67","平板式","3","螺杆式","2.2",10
"华夫庙闸","121.39527","30.03666","三七市村","三七市镇三七市村","相岙西渠","1",2.5,,,"12.1","10.9","平板式","1","螺杆式","/",10
"阴朗店闸","121.38583","30.03","三七市村","三七市镇三七市村","相岙东渠","1",3.0,,,"10.9","11.4","平板式","1","螺杆式","/",10
"贴水桥江闸","121.1392","30.1181","龙王堂村","朗霞街道龙王堂村","贴水桥江","1",2.5,,,"4.36","8.36","平板式","1","螺杆式","/",20
"白罗岙闸","121.37694","29.9756","罗江村","河姆渡镇罗江村","白罗岙沿山渠","2",3.0,,,"3.53","7.03","平板","2","螺杆","2*3",20
"后大泾闸","121.36111","29.0125","罗江村","河姆渡镇罗江村","大泾浦","1",2.8,,,"3.6","7.7","平板","1","螺杆","3",20
"东罗浦闸","121.365","29.9914","罗江村","河姆渡镇罗江村","东罗浦","1",2.9,,,"3.6","7.7","平板","1","螺杆","3",20
"白罗浦闸","121.37111","29.9886","罗江村","河姆渡镇罗江村","白罗浦","1",2.8,,,"3.2","8.2","平板","1","螺杆","3",20
"后大泾船闸","121.36056","29.9928","罗江村","河姆渡镇罗江村","大泾浦","1",2.8,,,"2.7","7.2","平板","1","螺杆","3",20
"敬老院小闸","121.3675","29.97","罗江村","河姆渡镇罗江村","白罗岙沿山渠","1",1.0,,,"5","7","平板","1","螺杆",,20
"芦山寺1#小闸","121.36528","29.9681","罗江村","河姆渡镇罗江村","白罗岙沿山渠","1",1.0,,,"5","7","平板","1","螺杆",,20
"芦山寺2#小闸","121.36528","29.9681","罗江村","河姆渡镇罗江村","白罗岙沿山渠","1",1.0,,,"5","7","平板","1","螺杆",,20
"浪墅桥腰闸","121.34361","29.9658","芦山寺村","河姆渡镇芦山寺村","大泾浦","1",3.1,,,"2.83","6.33","平板","1","螺杆","2",20
"田畈桥水闸","121.34333","29.9767","芦山寺村","河姆渡镇芦山寺村","幸福河","1",3.0,,,"2.43","5.23","平板","1","螺杆",,20
"沙河浦腰闸","121.36306","29.9681","芦山寺村","河姆渡镇芦山寺村","沙河浦","1",2.8,,,"2.43","4.93","平板","1","螺杆",,20
"罗江翻水河闸","121.34611","29.9628","芦山寺村","河姆渡镇芦山寺村","罗江翻水河","2",1.5,,,"2.4","4.9","平板","2","螺杆",,10
"王其弄小闸","121.35361","29.9639","芦山寺村","河姆渡镇芦山寺村","沙河浦","1",2.8,,,"3.53","7.63","平板","1","螺杆",,20
"赵家闸","121.34","29.9747","芦山寺村","河姆渡镇芦山寺村","刹浦河","1",2.5,,,"3.73","8.23","平板","1","螺杆","3",20
"箱子弯头闸","121.34","29.9747","芦山寺村","河姆渡镇芦山寺村","谢畔河","1",1.5,,,"3.43","7.63","平板","1","螺杆","2",20
"王其弄闸","121.35139","29.9603","芦山寺村","河姆渡镇芦山寺村","沙河浦","1",3.0,,,"3.53","7.63","平板","1","螺杆","3",20
"浪墅桥船闸","121.34333","29.9661","芦山寺村","河姆渡镇芦山寺村","大泾浦","2",3.1,,,"3.63","8.33","平板","2","螺杆","2*3",20
"浪墅桥闸","121.34306","29.9656","芦山寺村","河姆渡镇芦山寺村","大泾浦","2",2.75,,,"3.63","8.03","平板","2","螺杆","2*3",20
"小泾浦北闸","121.33889","29.9981","小泾浦村","河姆渡镇小泾浦村","小泾浦","1",5.0,,,"3.5",,"铸铁/斜拉","1","螺杆","2*5",20
"胡家闸","121.33639","29.9908","小泾浦村","河姆渡镇小泾浦村","新横河","1",3.0,,,"2.8","7.3","平板","1","螺杆","3",20
"李家闸","121.33528","29.9875","小泾浦村","河姆渡镇小泾浦村","李家排涝河","1",3.0,,,"3.6","7.9","平板","1","螺杆","3",20
"小泾浦村口闸","121.33417","29.9831","小泾浦村","河姆渡镇小泾浦村","幸福河","1",1.5,,,"3","4.5","铸铁/平板","1","螺杆",,20
"倪家浦腰闸","121.30528","29.995","江中村","河姆渡镇江中村","倪家浦","1",3.2,,,"2.6","5","平板","1","螺杆",,10
"下陈浦腰闸","121.31722","29.9886","江中村","河姆渡镇江中村","陈家浦","1",4.0,,,"2.13","5.93","平板","1","螺杆",,20
"弥陀庵河腰闸","121.32167","29.9861","江中村","河姆渡镇江中村","弥陀庵河","2",0.9,,,"2.6","4.5","平板","2","螺杆",,10
"童家节制闸","121.32639","29.9844","江中村","河姆渡镇江中村","陆江浦","1",3.8,,,"2.43","5.93","平板","1","螺杆",,20
"倪家浦闸","121.30639","30.0025","江中村","河姆渡镇江中村","倪家浦","1",2.8,,,"3.7","7.2","平板","1","螺杆","3",20
"太平渡闸","121.30389","29.9872","江中村","河姆渡镇江中村","大沿桥河","1",2.6,,,"3.03","7.73","平板","1","螺杆","3",20
"汪界浦闸","121.30667","29.9858","江中村","河姆渡镇江中村","汪界浦","1",3.5,,,"3.03","7.03","平板","1","螺杆","3",20
"江中翻水河水闸","121.30861","29.9844","江中村","河姆渡镇江中村","江中翻水河","1",3.0,,,"3.4","7.4","平板","1","螺杆","3",20
"季家浦闸","121.3125","29.9761","江中村","河姆渡镇江中村","季家浦","1",3.3,,,"3.13","7.83","平板","1","螺杆","3",20
"下陈浦水闸","121.32139","30","江中村","河姆渡镇江中村","陈家浦","1",3.0,,,"3.69","7.19","平板","1","螺杆","3",20
"陆江浦闸","121.3325","29.9978","江中村","河姆渡镇江中村","陆家浦","1",3.0,,,"2.99","7.1","平板","1","螺杆","3",20
"苗浦水闸","121.32722","29.9794","江中村","河姆渡镇江中村","陆江浦","1",2.8,,,"3.4","8.1","平板","1","螺杆","3",20
"翁家节制闸","121.29306","29.9983","翁方村","河姆渡镇翁方村","幸福河","1",2.8,,,"2.6","5.6","平板","1","螺杆",,20
"方家腰闸","121.29972","29.9961","翁方村","河姆渡镇翁方村","方家浦","1",2.7,,,"2.6","5","平板","1","螺杆","3",20
"翁家浦闸","121.29444","30.0069","翁方村","河姆渡镇翁方村","翁家浦","1",2.8,,,"3.9","7.4","平板","1","螺杆","3",20
"张界闸","121.28889","29.9953","翁方村","河姆渡镇翁方村","翁家浦","1",3.0,,,"3.58","7.98","平板","1","螺杆","3",20
"高界闸","121.29694","29.9858","翁方村","河姆渡镇翁方村","高界河","1",3.0,,,"3.58","7.98","平板","1","螺杆","3",20
"尖头湾闸","121.33583","29.9658","河姆渡村","河姆渡镇河姆渡村","江塘河，姚江","1",1.5,,,"3.7","8","平板","1","螺杆","3",20
"倒砂塘闸","121.34222","29.9536","河姆渡村","河姆渡镇河姆渡村","陶徐冯溪","1",3.0,,,"4","7.85","平板","1","螺杆","3",20
"洞桥浦闸","121.34361","29.9606","河姆渡村","河姆渡镇河姆渡村","河姆溪","1",4.0,,,"3.5","8.1","平板","1","螺杆","3",20
"西山河闸","121.30639","29.9747","车厩村","河姆渡镇车厩村","西山河","2",4.0,,,"3.11","5.11","平板","2","螺杆","2*3",20
"月仙畈闸","121.30389","29.985","车厩村","河姆渡镇车厩村","月仙畈横河","1",1.9,,,"3.5","9.1","平板","1","螺杆","3",20
"东澄官河小闸","121.31722","29.9722","车厩村","河姆渡镇车厩村","东澄官河","1",2.0,,,"3.9","8","平板","1","螺杆","3",20
"五眼桥闸","121.30694","29.9675","车厩村","河姆渡镇车厩村","东山河","1",4.0,,,"4.3","10.1","平板","1","螺杆","3",20
"西山河入姚江口","121.30889","29.9764","车厩村","河姆渡镇车厩村","西山河","1",8.0,,,"4.1",,"铸铁/斜拉","1","卷扬",,20
"东山河1#闸","121.31","29.97","车厩村","河姆渡镇车厩村","东山河","4",8.0,,,"4.24",,"铸铁/斜拉","4","螺杆","2*5",20
"东山河2#闸","121.31472","29.9742","车厩村","河姆渡镇车厩村","东山河","8",4.0,,,"3.51",,"铸铁/斜拉","8","螺杆","4*5",20
"大浦口闸","121.33","29.9767","东澄村","河姆渡镇东澄村","东澄官河","1",3.0,,,"3.9","8.4","平板","1","螺杆","3",20
"大浦口前闸","121.32972","29.9764","东澄村","河姆渡镇东澄村","东澄官河","1",2.0,,,"3.4","7.5","平板","1","螺杆","3",20
"倪木渡闸","121.335","29.9767","东澄村","河姆渡镇东澄村","东澄通姚江","1",1.5,,,"3.8","7.9","平板","1","螺杆","2",20
"余家站闸","121.33472","29.9694","东澄村","河姆渡镇东澄村","余家站河","1",2.0,,,"3.5","7.6","平板","1","螺杆",,20
"瓦窑河闸","121.33333","29.9656","东澄村","河姆渡镇东澄村","瓦窑河","1",1.5,,,"3.7","8","平板","1","螺杆","3",20
"下岸闸","121.32778","29.9733","东澄村","河姆渡镇东澄村","东澄官河","1",3.0,,,"2.5","4.5","平板","1","螺杆",,20
"大岙溪1#闸","121.32528","29.9678","东澄村","河姆渡镇东澄村","大岙溪","1",3.5,,,"3.6","6.1","平板","1","螺杆","2",20
"倪木渡节制闸","121.335","29.9767","东澄村","河姆渡镇东澄村","东澄小河","1",1.5,,,"3.1","6.5","平板","1","螺杆",,20
"大岙溪2#闸","121.32889","29.9658","东澄村","余姚市东澄村","大岙溪","2",2.3,,,"3.8","7.3","平板","2","螺杆",,20
"隐溪大闸","121.38472","29.9492","大隐镇","大隐镇","隐溪河","5",6.0,,,"3.93",,"铸铁/斜拉","5","螺杆式","37.5",20
"小隐闸","121.36972","29.9628","大隐村★","大隐镇大隐村","小隐溪","1",4.0,,,"3.93","5.23","平板门","1","螺杆式","2.2",20
"三房闸","121.24305","29.99472","五马村","陆埠镇五马村","新桥浦","1",2.5,,,"2.15","4.85","平板门","1","螺杆式","/",20
"兵马司水闸","121.19389","30.0769","经济开发区","浙江省宁波市余姚经济开发区","向南河","2",5.0,,,"4.15",,"平板门","2","螺杆式",,50
"缪家江西侧水闸","121.16944","30.0678","经济开发区","浙江省宁波市余姚经济开发区","缪家江","1",3.0,,,"3.83",,"平板门","1","螺杆式",,20
"万家桥江东侧水闸","121.19167","30.0711","经济开发区","浙江省宁波市余姚经济开发区","万家桥江","1",3.0,,,"3.13","7.63","平板门","1","螺杆式",,20
"横河埭江东侧水闸","121.19056","30.0589","经济开发区","浙江省宁波市余姚经济开发区","横河埭江","1",2.4,,,"3.13","7.63","平板门","1","螺杆式",,20
