水闸名称,经度,纬度,所在行政区,所在地点,所在河流,水闸孔数,闸孔净宽,闸底板高程,闸门顶高程,闸墩高程,排架高程,闸门型式,启闭机,启闭机型式,电机功率,设计标准
"东门翻水站闸","120.9986","30.15333","临城村","临山镇临山村","街河","1",6.0,,,"4.23","/","升卧式","1","螺杆式","7.5",20
"姚家头闸","121.001389","30.147778","临城村","临山镇临山村","临山江","1",3.0,,,"3.58","8.23","平板门","1","螺杆式","4",20
"城东闸","120.99556","30.14833","临城村","临山镇临山村","落湖漕","1",3.0,,,"4.6","8.5","平板门","1","螺杆式","5.5",20
"胜利江闸","120.96472","30.18777","临海村","临山镇临海村","胜利直江","1",3.0,,,"4.16","7.56","平板门","1","螺杆式","4",20
"七四丘东直江闸","120.96833","30.1908","临海村","临山镇临海村","七四丘东直江","1",2.6,,,"4.2","8.6","平板门","1","螺杆式","4",20
"梅兰江闸","120.95389","30.18139","梅园村","临山镇梅园村","梅兰江","1",3.5,,,"4.19","7.69","平板门","1","螺杆式","5.5",20
"七四丘西直江闸","120.95167","30.18167","梅园村","临山镇梅园村","七四丘西直江","1",3.2,,,"4.06","8.76","平板门","1","螺杆式","4",20
"鲤鱼山泵站1#闸","120.99722","30.101666","杏山村","黄家埠镇杏山村","杏山湖江","1",3.1,,,"4.24","8.29","平板门","1","螺杆式","3",10
"鲤鱼山东水闸","120.99917","30.10222","杏山村","黄家埠镇杏山村","杏山湖江","1",5.0,,,"4.41","8.46","平板门","1","螺杆式","7.5",10
"鲤鱼山西水闸","120.98444","30.100833","杏山村","黄家埠镇杏山村","杏山湖江","1",3.5,,,"4.41","8.46","平板门","1","螺杆式","4",10
"杏山湖北节制闸","120.98889","30.113056","杏山村","黄家埠镇杏山村","杏山湖","1",5.0,,,"4.62","8.72","平板门","1","螺杆式","7.5",10
"杏山湖内河节制闸","120.98778","30.10944","杏山村","黄家埠镇杏山村","杏山湖","1",3.0,,,"3.95","7.45","平板门","1","螺杆式","4",10
"后大江排涝泵闸","120.99417","30.104166","杏山村","黄家埠镇杏山村","后大江","1",3.0,,,"4.45","8.55","平板门","1","螺杆式","3",10
"鲤鱼山泵站2#闸","120.98639","30.105278","杏山村","黄家埠镇杏山村","杏山湖江","1",2.6,,,"4.21","7.56","平板门","1","螺杆式","3",10
"新掘江泵闸","120.97083","30.114167","回龙村","黄家埠镇回龙村","新掘江","1",3.0,,,"4.75","8.3","平板门","1","螺杆式","3",10
"顾堰头水闸","120.968056","30.11972","回龙村","黄家埠镇回龙村","高桥江","1",3.5,,,"4.95","9.05","平板门","1","卷扬式","3",10
"千金湖排涝泵闸","120.9683","30.13556","高桥村","黄家埠镇高桥村","里庵河","1",3.0,,,"4.63","8.63","平板门","1","螺杆式","4",10
"千金湖节制闸","120.968056","30.13527","高桥村","黄家埠镇高桥村","里庵河","1",3.0,,,"4.43","8.03","平板门","1","螺杆式","4",10
"干墩节制闸","120.96861","30.14944","黄家埠村","黄家埠镇黄家埠村","下姚江","2",3.8,,,"4.63","8.33","平板门","2","螺杆式","4",10
"姐妹桥节制闸","120.97166","30.14805","黄家埠村","黄家埠镇黄家埠村","念五坝江","1",4.0,,,"4.63","8.73","平板门","1","螺杆式","4",10
"陆家桥闸","120.931389","30.132777","黄家埠村","黄家埠镇黄家埠村","钱家堰江","2",3.2,,,"4.6","9.1","平板门","2","螺杆式","4",10
"念五坝江东闸","120.96028","30.13278","黄家埠村","黄家埠镇黄家埠村","念五坝江","1",3.0,,,"4.03","7.03","平板门","1","螺杆式","3",10
"念五坝江西闸","120.9583","30.1322","韩夏村","黄家埠镇韩夏村","钱家堰江","2",4.0,,,"4.38","/","升卧式","2","螺杆式","4",10
"五塘江东节制闸","120.94917","30.168056","横塘村","黄家埠镇横塘村","五塘江","1",3.0,,,"3.95","6.95","平板门","1","螺杆式","/",10
"西直丘节制闸","120.95083","30.151944","横塘村","黄家埠镇横塘村","邵家丘西直江","1",3.0,,,"4.25","6.15","平板门","1","螺杆式","/",10
"邵家江北闸","120.94083","30.167","横塘村","黄家埠镇横塘村","邵家江","1",4.0,,,"4.4","8.7","平板门","1","螺杆式","4",10
"邵家江南桥闸","120.94917","30.15472","横塘村","黄家埠镇横塘村","邵家江","1",4.0,,,"5.04","8.69","平板门","1","螺杆式","/",10
"五塘江西桥闸","120.930278","30.15833","十六户村","黄家埠镇十六户村","五塘江","1",4.0,,,"4.48","7.98","平板门","1","螺杆式","3",10
"崔冯江翻水泵闸","120.93333","30.1669","十六户村","黄家埠镇十六户村","崔冯江","1",3.0,,,"5.75","9.8","平板门","1","螺杆式","3",10
"崔冯江北闸","120.933056","30.16701","十六户村","黄家埠镇十六户村","崔冯江","1",3.5,,,"4.27","8.15","平板门","1","螺杆式","4",10
"毛丁路闸","121.0936","30.2175","曹娥村","小曹娥镇曹娥村","爱国江","/",3.45,,,"5.63","7.73","平板式","/","手摇式","/",20
"小曹娥镇9#闸","121.074","30.251","曹娥村","小曹娥镇曹娥村","八塘江","2",3.5,,,"4.53","9.03","平板式","2","螺杆式","4",10
"农场闸","121.0739","30.2508","曹娥村","小曹娥镇曹娥村","爱国江","1",4.0,,,"4.13","8.33","平板式","1","螺杆式","4",20
"九塘闸","121.0753","30.2689","曹娥村","小曹娥镇曹娥村","爱国江","1",4.0,,,"4.83","8.83","平板式","1","螺杆式","4",20
"小曹娥镇1#泵闸","121.091","30.219","曹娥村","小曹娥镇曹娥村","爱国江","2",3.7,,,"5.26","11.3","平板式","2","螺杆式","4",20
"四塘江南闸","121.092","30.218","曹娥村","小曹娥镇曹娥村","爱国江","1",3.0,,,"3.98","7.98","平板式","1","螺杆式","3",20
"小曹娥镇2#闸","121.078","30.234","建民村","小曹娥镇建民村","爱国江","2",3.5,,,"4.08","8.38","平板式","2","螺杆式","4",20
